time,n_sat,x,y,z,dt_u,rms
2026-04-26T13:24:00,10,3512889.0686292914,2069032.700509949,4888979.9304503715,1.1828625897961126e-07,52.07713134318748
2026-04-26T13:24:30,10,3512888.9608902065,2069033.3629403312,4888981.362288773,1.2087718187331516e-07,52.38247753650808
2026-04-26T13:25:00,10,3512888.420363221,2069033.880335932,4888982.158712601,1.217229965254862e-07,52.63828262739751
2026-04-26T13:25:30,10,3512888.247156799,2069034.1300667669,4888982.871998686,1.2160022275111143e-07,52.63693553617053
2026-04-26T13:26:00,10,3512888.325811497,2069034.5090847546,4888984.196623323,1.2421226387718865e-07,52.68466514688924
2026-04-26T13:26:30,10,3512887.2296319026,2069034.5633988448,4888984.3942880845,1.2350629586023438e-07,52.722222423330805
2026-04-26T13:27:00,10,3512887.6807973846,2069034.8210402678,4888985.985710593,1.2672720417929032e-07,52.91075473834848
2026-04-26T13:27:30,10,3512886.796723133,2069035.1126417494,4888986.624773973,1.266299922423006e-07,53.06548007122673
2026-04-26T13:28:00,10,3512886.3409109227,2069035.5128331648,4888987.077060474,1.2679840458607534e-07,53.12399364855253
2026-04-26T13:28:30,10,3512885.956795848,2069035.509656163,4888986.689358401,1.2475152728916827e-07,52.96545441959231
2026-04-26T13:29:00,10,3512885.965237327,2069036.6287945802,4888988.654531992,1.2898210025720974e-07,53.24668043558787
